# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.44997585E-02  0.00000000E+00 -0.22758699E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.44997585E-02  0.00000000E+00 -0.20851395E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.44997585E-02  0.00000000E+00 -0.18940268E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.44997585E-02  0.00000000E+00 -0.17029142E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.44997585E-02  0.00000000E+00 -0.15114193E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.44997585E-02  0.00000000E+00 -0.13203067E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.44997585E-02  0.00000000E+00 -0.11291941E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.44997585E-02  0.00000000E+00 -0.93808143E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.44997585E-02  0.00000000E+00 -0.74735101E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.44997585E-02  0.00000000E+00 -0.55623838E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.44997585E-02  0.00000000E+00 -0.36512574E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.44997585E-02  0.00000000E+00 -0.17401310E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.44997585E-02  0.00000000E+00  0.17099534E-03  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.44997585E-02  0.00000000E+00  0.20821217E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.44997585E-02  0.00000000E+00  0.39970703E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.44997585E-02  0.00000000E+00  0.59081967E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.44997585E-02  0.00000000E+00  0.78193231E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.44997585E-02  0.00000000E+00  0.97304494E-02  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.44997585E-02  0.00000000E+00  0.11641576E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.19002000E-09  0.44997585E-02  0.00000000E+00  0.13552702E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20002000E-09  0.44997585E-02  0.00000000E+00  0.15463829E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.21002000E-09  0.44997585E-02  0.00000000E+00  0.17374955E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.22002000E-09  0.44997585E-02  0.00000000E+00  0.19286081E-01  0.00000000E+00  0.00000000E+00  0.19111264E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
