# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.21002000E-09  0.36786649E-01  0.00000000E+00  0.38997931E-01  0.17450069E+09 -0.29388102E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.22002000E-09  0.38530771E-01  0.00000000E+00  0.39478389E-01  0.17432206E+09 -0.30429792E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.23002000E-09  0.40273061E-01  0.00000000E+00  0.39958848E-01  0.17413452E+09 -0.31485242E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.24002000E-09  0.42013432E-01  0.00000000E+00  0.40439306E-01  0.17393817E+09 -0.32552506E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.25002000E-09  0.43751795E-01  0.00000000E+00  0.40919765E-01  0.17373307E+09 -0.33629941E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.26002000E-09  0.45488064E-01  0.00000000E+00  0.41400223E-01  0.17351928E+09 -0.34716149E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.27002000E-09  0.47222152E-01  0.00000000E+00  0.41880682E-01  0.17329686E+09 -0.35809931E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.28002000E-09  0.48953973E-01  0.00000000E+00  0.42361140E-01  0.17306584E+09 -0.36910249E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.29002000E-09  0.50683440E-01  0.00000000E+00  0.42841599E-01  0.17282627E+09 -0.38016205E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-09  0.52407018E-01  0.00000000E+00  0.43321096E-01  0.17257869E+09 -0.39124783E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.31000000E-09  0.54131529E-01  0.00000000E+00  0.43801555E-01  0.17232213E+09 -0.40239733E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.32000000E-09  0.55853433E-01  0.00000000E+00  0.44282013E-01  0.17205711E+09 -0.41358226E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.33000000E-09  0.57572644E-01  0.00000000E+00  0.44762472E-01  0.17178366E+09 -0.42479713E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.34000000E-09  0.59289078E-01  0.00000000E+00  0.45242930E-01  0.17150181E+09 -0.43603707E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.35000000E-09  0.61002652E-01  0.00000000E+00  0.45723389E-01  0.17121157E+09 -0.44729767E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.36000000E-09  0.62713281E-01  0.00000000E+00  0.46203847E-01  0.17091297E+09 -0.45857498E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.37000000E-09  0.64420883E-01  0.00000000E+00  0.46684306E-01  0.17060603E+09 -0.46986538E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.38000000E-09  0.66125374E-01  0.00000000E+00  0.47164764E-01  0.17029078E+09 -0.48116560E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.39000000E-09  0.67826671E-01  0.00000000E+00  0.47645223E-01  0.16996723E+09 -0.49247263E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40000000E-09  0.69524691E-01  0.00000000E+00  0.48125681E-01  0.16963541E+09 -0.50378373E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.41000000E-09  0.71219352E-01  0.00000000E+00  0.48606140E-01  0.16929534E+09 -0.51509634E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.42000000E-09  0.72910571E-01  0.00000000E+00  0.49086598E-01  0.16894703E+09 -0.52640812E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.43000000E-09  0.74598265E-01  0.00000000E+00  0.49567057E-01  0.16859051E+09 -0.53771687E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.44000000E-09  0.76282353E-01  0.00000000E+00  0.50047515E-01  0.16822579E+09 -0.54902056E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.45000000E-09  0.77962754E-01  0.00000000E+00  0.50527974E-01  0.16785291E+09 -0.56031729E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.46000000E-09  0.79639384E-01  0.00000000E+00  0.51008432E-01  0.16747187E+09 -0.57160526E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.47000000E-09  0.81312164E-01  0.00000000E+00  0.51488891E-01  0.16708270E+09 -0.58288279E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.48000000E-09  0.82981011E-01  0.00000000E+00  0.51969349E-01  0.16668542E+09 -0.59414830E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.49000000E-09  0.84645846E-01  0.00000000E+00  0.52449808E-01  0.16628006E+09 -0.60540028E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50000000E-09  0.86306586E-01  0.00000000E+00  0.52930266E-01  0.16586662E+09 -0.61663731E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.51000000E-09  0.87963151E-01  0.00000000E+00  0.53410725E-01  0.16544514E+09 -0.62785803E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.52000000E-09  0.89615462E-01  0.00000000E+00  0.53891183E-01  0.16501564E+09 -0.63906115E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.53000000E-09  0.91263437E-01  0.00000000E+00  0.54371642E-01  0.16457813E+09 -0.65024542E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.54000000E-09  0.92906998E-01  0.00000000E+00  0.54852100E-01  0.16413265E+09 -0.66140967E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.55002000E-09  0.94549337E-01  0.00000000E+00  0.55333519E-01  0.16367829E+09 -0.67257502E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.56002000E-09  0.96183820E-01  0.00000000E+00  0.55813978E-01  0.16321689E+09 -0.68369581E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.57002000E-09  0.97813649E-01  0.00000000E+00  0.56294436E-01  0.16274758E+09 -0.69479328E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.58002000E-09  0.99438745E-01  0.00000000E+00  0.56774895E-01  0.16227039E+09 -0.70586642E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.59002000E-09  0.10105903E+00  0.00000000E+00  0.57255353E-01  0.16178533E+09 -0.71691424E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60002000E-09  0.10267443E+00  0.00000000E+00  0.57735812E-01  0.16129243E+09 -0.72793579E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.61002000E-09  0.10428485E+00  0.00000000E+00  0.58216270E-01  0.16079171E+09 -0.73893015E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.62002000E-09  0.10589023E+00  0.00000000E+00  0.58696729E-01  0.16028321E+09 -0.74989642E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.63002000E-09  0.10749049E+00  0.00000000E+00  0.59177187E-01  0.15976694E+09 -0.76083371E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.64002000E-09  0.10908555E+00  0.00000000E+00  0.59657646E-01  0.15924292E+09 -0.77174118E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.65002000E-09  0.11067532E+00  0.00000000E+00  0.60138104E-01  0.15871120E+09 -0.78261801E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.66002000E-09  0.11225975E+00  0.00000000E+00  0.60618563E-01  0.15817178E+09 -0.79346337E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.67002000E-09  0.11383873E+00  0.00000000E+00  0.61099021E-01  0.15762470E+09 -0.80427647E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.68002000E-09  0.11541221E+00  0.00000000E+00  0.61579480E-01  0.15706999E+09 -0.81505654E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.69002000E-09  0.11698011E+00  0.00000000E+00  0.62059938E-01  0.15650767E+09 -0.82580282E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70002000E-09  0.11854234E+00  0.00000000E+00  0.62540397E-01  0.15593777E+09 -0.83651456E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.71002000E-09  0.12009884E+00  0.00000000E+00  0.63020855E-01  0.15536031E+09 -0.84719104E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.72002000E-09  0.12164952E+00  0.00000000E+00  0.63501314E-01  0.15477533E+09 -0.85783153E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.73002000E-09  0.12319432E+00  0.00000000E+00  0.63981772E-01  0.15418286E+09 -0.86843534E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.74002000E-09  0.12473316E+00  0.00000000E+00  0.64462231E-01  0.15358292E+09 -0.87900176E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.75002000E-09  0.12626595E+00  0.00000000E+00  0.64942689E-01  0.15297554E+09 -0.88953012E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.76002000E-09  0.12779264E+00  0.00000000E+00  0.65423148E-01  0.15236075E+09 -0.90001974E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.77002000E-09  0.12931314E+00  0.00000000E+00  0.65903606E-01  0.15173858E+09 -0.91046997E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.78002000E-09  0.13082739E+00  0.00000000E+00  0.66384065E-01  0.15110907E+09 -0.92088015E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.79002000E-09  0.13233530E+00  0.00000000E+00  0.66864523E-01  0.15047224E+09 -0.93124964E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80002000E-09  0.13383681E+00  0.00000000E+00  0.67344982E-01  0.14982812E+09 -0.94157781E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.81002000E-09  0.13533184E+00  0.00000000E+00  0.67825440E-01  0.14917675E+09 -0.95186404E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.82002000E-09  0.13682032E+00  0.00000000E+00  0.68305898E-01  0.14851815E+09 -0.96210770E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.83002000E-09  0.13830218E+00  0.00000000E+00  0.68786357E-01  0.14785236E+09 -0.97230819E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.84002000E-09  0.13977734E+00  0.00000000E+00  0.69266815E-01  0.14717941E+09 -0.98246490E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.85002000E-09  0.14124574E+00  0.00000000E+00  0.69747274E-01  0.14649934E+09 -0.99257725E+08  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.86002000E-09  0.14270731E+00  0.00000000E+00  0.70227732E-01  0.14581217E+09 -0.10026446E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.87002000E-09  0.14416196E+00  0.00000000E+00  0.70708191E-01  0.14511795E+09 -0.10126665E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.88002000E-09  0.14560964E+00  0.00000000E+00  0.71188649E-01  0.14441670E+09 -0.10226422E+09  0.48045849E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
