# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.12736385E-01  0.00000000E+00 -0.24696233E-02  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.12736385E-01  0.00000000E+00 -0.77248353E-03  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.12736385E-01  0.00000000E+00  0.92805731E-03  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.12736385E-01  0.00000000E+00  0.26285982E-02  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.12736385E-01  0.00000000E+00  0.43325401E-02  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.12736385E-01  0.00000000E+00  0.60330809E-02  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.12736385E-01  0.00000000E+00  0.77336218E-02  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.12736385E-01  0.00000000E+00  0.94341626E-02  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.12736385E-01  0.00000000E+00  0.11131302E-01  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.12736385E-01  0.00000000E+00  0.12831843E-01  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.12736385E-01  0.00000000E+00  0.14532384E-01  0.00000000E+00  0.00000000E+00  0.17005408E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
