# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.40247951E-02  0.00000000E+00 -0.25549338E-02  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.40247951E-02  0.00000000E+00 -0.65262256E-03  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.40247951E-02  0.00000000E+00  0.12535009E-02  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.40247951E-02  0.00000000E+00  0.31596245E-02  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.40247951E-02  0.00000000E+00  0.50695602E-02  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.40247951E-02  0.00000000E+00  0.69756837E-02  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.40247951E-02  0.00000000E+00  0.88818072E-02  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.40247951E-02  0.00000000E+00  0.10787931E-01  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.40247951E-02  0.00000000E+00  0.12690242E-01  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.40247951E-02  0.00000000E+00  0.14596366E-01  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.40247951E-02  0.00000000E+00  0.16502489E-01  0.00000000E+00  0.00000000E+00  0.19061235E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
