# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.10191919E-01  0.00000000E+00 -0.68890648E-02  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.10191919E-01  0.00000000E+00 -0.50890557E-02  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.10191919E-01  0.00000000E+00 -0.32854394E-02  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.10191919E-01  0.00000000E+00 -0.14818231E-02  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.10191919E-01  0.00000000E+00  0.32540040E-03  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.10191919E-01  0.00000000E+00  0.21290167E-02  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.10191919E-01  0.00000000E+00  0.39326330E-02  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.10191919E-01  0.00000000E+00  0.57362493E-02  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.10191919E-01  0.00000000E+00  0.75362584E-02  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.10191919E-01  0.00000000E+00  0.93398747E-02  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.10191919E-01  0.00000000E+00  0.11143491E-01  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.10191919E-01  0.00000000E+00  0.12947107E-01  0.00000000E+00  0.00000000E+00  0.18036163E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
