# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.10429497E-01  0.00000000E+00 -0.12122854E-01 -0.17875154E+09 -0.54528600E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.86582590E-02  0.00000000E+00 -0.12375724E-01 -0.17593942E+09 -0.63014286E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.69222625E-02  0.00000000E+00 -0.12629101E-01 -0.17066703E+09 -0.76146224E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.52641090E-02  0.00000000E+00 -0.12882477E-01 -0.15942944E+09 -0.97507614E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.37853323E-02  0.00000000E+00 -0.13136361E-01 -0.13110193E+09 -0.13318320E+09 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.27977368E-02  0.00000000E+00 -0.13389738E-01 -0.54996771E+08 -0.17860805E+09 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.28590686E-02  0.00000000E+00 -0.13643115E-01  0.65951602E+08 -0.17485957E+09 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.39203957E-02  0.00000000E+00 -0.13896492E-01  0.13543315E+09 -0.12877633E+09 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.54200330E-02  0.00000000E+00 -0.14149362E-01  0.16098781E+09 -0.94912620E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.70886924E-02  0.00000000E+00 -0.14402738E-01  0.17135580E+09 -0.74583318E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.88296538E-02  0.00000000E+00 -0.14656115E-01  0.17629126E+09 -0.62023156E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.10607132E-01  0.00000000E+00 -0.14909492E-01  0.17895526E+09 -0.53856250E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.12405181E-01  0.00000000E+00 -0.15162869E-01  0.18052608E+09 -0.48330284E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.14215724E-01  0.00000000E+00 -0.15416246E-01  0.18151003E+09 -0.44492585E+08 -0.25337684E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
