# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.45313350E-02  0.00000000E+00 -0.15216199E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.45313350E-02  0.00000000E+00 -0.13538263E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.45313350E-02  0.00000000E+00 -0.11856965E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.45313350E-02  0.00000000E+00 -0.10175666E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.45313350E-02  0.00000000E+00 -0.84910046E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.45313350E-02  0.00000000E+00 -0.68097059E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.45313350E-02  0.00000000E+00 -0.51284072E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.45313350E-02  0.00000000E+00 -0.34471085E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.45313350E-02  0.00000000E+00 -0.17691724E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.45313350E-02  0.00000000E+00 -0.87873700E-04  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.45313350E-02  0.00000000E+00  0.15934250E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.45313350E-02  0.00000000E+00  0.32747237E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.45313350E-02  0.00000000E+00  0.49560224E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.45313350E-02  0.00000000E+00  0.66373211E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.45313350E-02  0.00000000E+00  0.83219824E-02  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.45313350E-02  0.00000000E+00  0.10003281E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.45313350E-02  0.00000000E+00  0.11684580E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.45313350E-02  0.00000000E+00  0.13365878E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.45313350E-02  0.00000000E+00  0.15047177E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.19002000E-09  0.45313350E-02  0.00000000E+00  0.16728476E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20002000E-09  0.45313350E-02  0.00000000E+00  0.18409775E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.21002000E-09  0.45313350E-02  0.00000000E+00  0.20091073E-01  0.00000000E+00  0.00000000E+00  0.16812987E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
