# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.75335217E-02  0.00000000E+00 -0.13393102E+00 -0.50407043E+08  0.66308926E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.70664883E-02  0.00000000E+00 -0.13232585E+00 -0.42946660E+08  0.71367556E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.66805881E-02  0.00000000E+00 -0.13071746E+00 -0.33980424E+08  0.76046528E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.63918061E-02  0.00000000E+00 -0.12910906E+00 -0.23544483E+08  0.79896188E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.62135198E-02  0.00000000E+00 -0.12749746E+00 -0.11875983E+08  0.82442129E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.61561026E-02  0.00000000E+00 -0.12588906E+00  0.44994090E+06  0.83291903E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.62224288E-02  0.00000000E+00 -0.12428067E+00  0.12749182E+08  0.82311615E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.64086450E-02  0.00000000E+00 -0.12267228E+00  0.24322816E+08  0.79662690E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.67040417E-02  0.00000000E+00 -0.12106711E+00  0.34641506E+08  0.75747671E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.70960354E-02  0.00000000E+00 -0.11945871E+00  0.43504202E+08  0.71029065E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.75691522E-02  0.00000000E+00 -0.11785032E+00  0.50879671E+08  0.65946969E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.81091216E-02  0.00000000E+00 -0.11624193E+00  0.56904924E+08  0.60824117E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.87034142E-02  0.00000000E+00 -0.11463354E+00  0.61779351E+08  0.55866406E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.93415630E-02  0.00000000E+00 -0.11302515E+00  0.65709346E+08  0.51186184E+08  0.16083918E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
