# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.12691300E-01  0.00000000E+00 -0.21979567E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.12691300E-01  0.00000000E+00 -0.20052641E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.12691300E-01  0.00000000E+00 -0.18121854E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.12691300E-01  0.00000000E+00 -0.16191066E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.12691300E-01  0.00000000E+00 -0.14256417E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.12691300E-01  0.00000000E+00 -0.12325629E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.12691300E-01  0.00000000E+00 -0.10394842E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.12691300E-01  0.00000000E+00 -0.84640543E-02  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.12691300E-01  0.00000000E+00 -0.65371283E-02  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.12691300E-01  0.00000000E+00 -0.46063407E-02  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.12691300E-01  0.00000000E+00 -0.26755531E-02  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.12691300E-01  0.00000000E+00 -0.74476552E-03  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.12691300E-01  0.00000000E+00  0.11860221E-02  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.12691300E-01  0.00000000E+00  0.31168096E-02  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.12691300E-01  0.00000000E+00  0.50514588E-02  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.12691300E-01  0.00000000E+00  0.69822464E-02  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.12691300E-01  0.00000000E+00  0.89130340E-02  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.12691300E-01  0.00000000E+00  0.10843822E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.12691300E-01  0.00000000E+00  0.12774609E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.19002000E-09  0.12691300E-01  0.00000000E+00  0.14705397E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20002000E-09  0.12691300E-01  0.00000000E+00  0.16636184E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.21002000E-09  0.12691300E-01  0.00000000E+00  0.18566972E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.22002000E-09  0.12691300E-01  0.00000000E+00  0.20497759E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.23002000E-09  0.12691300E-01  0.00000000E+00  0.22428547E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.24002000E-09  0.12691300E-01  0.00000000E+00  0.24359335E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.25002000E-09  0.12691300E-01  0.00000000E+00  0.26290122E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.26002000E-09  0.12691300E-01  0.00000000E+00  0.28220910E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.27002000E-09  0.12691300E-01  0.00000000E+00  0.30151697E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.28002000E-09  0.12691300E-01  0.00000000E+00  0.32082485E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.29002000E-09  0.12691300E-01  0.00000000E+00  0.34013272E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-09  0.12691300E-01  0.00000000E+00  0.35940198E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.31000000E-09  0.12691300E-01  0.00000000E+00  0.37870986E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.32000000E-09  0.12691300E-01  0.00000000E+00  0.39801774E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.33000000E-09  0.12691300E-01  0.00000000E+00  0.41732561E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.34000000E-09  0.12691300E-01  0.00000000E+00  0.43663349E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.35000000E-09  0.12691300E-01  0.00000000E+00  0.45594136E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.36000000E-09  0.12691300E-01  0.00000000E+00  0.47524924E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.37000000E-09  0.12691300E-01  0.00000000E+00  0.49455712E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.38000000E-09  0.12691300E-01  0.00000000E+00  0.51386499E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.39000000E-09  0.12691300E-01  0.00000000E+00  0.53317287E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40000000E-09  0.12691300E-01  0.00000000E+00  0.55248074E-01  0.00000000E+00  0.00000000E+00  0.19307876E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
