# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.53823870E-02  0.00000000E+00 -0.73257734E-01 -0.35722483E+08  0.14618885E+09 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.52439742E-02  0.00000000E+00 -0.74192555E-01  0.85617296E+07  0.15024638E+09 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.55473984E-02  0.00000000E+00 -0.75129250E-01  0.50930800E+08  0.14160978E+09 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.62289825E-02  0.00000000E+00 -0.76065944E-01  0.83498797E+08  0.12520075E+09 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.71838532E-02  0.00000000E+00 -0.77004512E-01  0.10552301E+09  0.10729479E+09 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.83151966E-02  0.00000000E+00 -0.77941206E-01  0.11970655E+09  0.91200977E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.95614723E-02  0.00000000E+00 -0.78877901E-01  0.12890326E+09  0.77660973E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.10883062E-01  0.00000000E+00 -0.79814595E-01  0.13501516E+09  0.66469410E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.12252620E-01  0.00000000E+00 -0.80749416E-01  0.13919337E+09  0.57205622E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.13660136E-01  0.00000000E+00 -0.81686111E-01  0.14214490E+09  0.49417643E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.15092807E-01  0.00000000E+00 -0.82622805E-01  0.14427822E+09  0.42791019E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.16543849E-01  0.00000000E+00 -0.83559499E-01  0.14585300E+09  0.37069925E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.18008565E-01  0.00000000E+00 -0.84496194E-01  0.14703510E+09  0.32061755E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.19483609E-01  0.00000000E+00 -0.85432888E-01  0.14793355E+09  0.27621404E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.20969510E-01  0.00000000E+00 -0.86371456E-01  0.14862316E+09  0.23631172E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.22458503E-01  0.00000000E+00 -0.87308150E-01  0.14915220E+09  0.20022409E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.23952146E-01  0.00000000E+00 -0.88244845E-01  0.14955827E+09  0.16721249E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.25449346E-01  0.00000000E+00 -0.89181539E-01  0.14986739E+09  0.13676318E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.26949235E-01  0.00000000E+00 -0.90118234E-01  0.15009871E+09  0.10846860E+08 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.19002000E-09  0.28451109E-01  0.00000000E+00 -0.91054928E-01  0.15026654E+09  0.82001964E+07 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20002000E-09  0.29954390E-01  0.00000000E+00 -0.91991622E-01  0.15038176E+09  0.57098653E+07 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.21002000E-09  0.31458597E-01  0.00000000E+00 -0.92928317E-01  0.15045274E+09  0.33542394E+07 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.22002000E-09  0.32963320E-01  0.00000000E+00 -0.93865011E-01  0.15048599E+09  0.11154901E+07 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.23002000E-09  0.34468208E-01  0.00000000E+00 -0.94801706E-01  0.15048666E+09 -0.10211979E+07 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.24002000E-09  0.35972958E-01  0.00000000E+00 -0.95738400E-01  0.15045884E+09 -0.30682272E+07 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.25002000E-09  0.37477301E-01  0.00000000E+00 -0.96675094E-01  0.15040584E+09 -0.50360526E+07 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.26002000E-09  0.38981000E-01  0.00000000E+00 -0.97611789E-01  0.15033031E+09 -0.69335433E+07 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.27002000E-09  0.40483840E-01  0.00000000E+00 -0.98548483E-01  0.15023447E+09 -0.87682684E+07 -0.93669439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
