# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.35580915E-02  0.00000000E+00  0.23969965E-02 -0.12490007E+09  0.13515235E+09  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.26887644E-02  0.00000000E+00  0.24742609E-02 -0.37091323E+08  0.18025099E+09  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.29476669E-02  0.00000000E+00  0.25516802E-02  0.83339170E+08  0.16407550E+09  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.41298164E-02  0.00000000E+00  0.26290994E-02  0.14310437E+09  0.11570362E+09  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.56890451E-02  0.00000000E+00  0.27066735E-02  0.16468667E+09  0.82124832E+08  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.73860835E-02  0.00000000E+00  0.27840927E-02  0.17356343E+09  0.61171248E+08  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.91455862E-02  0.00000000E+00  0.28615119E-02  0.17787282E+09  0.47195819E+08  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.10937193E-01  0.00000000E+00  0.29389312E-02  0.18023228E+09  0.37182141E+08  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.12743470E-01  0.00000000E+00  0.30161956E-02  0.18163434E+09  0.29582950E+08  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.14564562E-01  0.00000000E+00  0.30936148E-02  0.18251914E+09  0.23514868E+08  0.77419236E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
