# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.69299864E-02  0.00000000E+00 -0.41519286E-01 -0.14710722E+09 -0.75014830E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.55060925E-02  0.00000000E+00 -0.41593364E-01 -0.13709024E+09 -0.92054462E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.42276852E-02  0.00000000E+00 -0.41667591E-01 -0.11578901E+09 -0.11773132E+09 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.32767330E-02  0.00000000E+00 -0.41741818E-01 -0.68391904E+08 -0.15030071E+09 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.29851681E-02  0.00000000E+00 -0.41816193E-01  0.14034267E+08 -0.16453205E+09 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.35218960E-02  0.00000000E+00 -0.41890419E-01  0.87268727E+08 -0.14018533E+09 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.46048716E-02  0.00000000E+00 -0.41964646E-01  0.12437740E+09 -0.10861869E+09 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.59424411E-02  0.00000000E+00 -0.42038873E-01  0.14102103E+09 -0.85911732E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.73945854E-02  0.00000000E+00 -0.42112951E-01  0.14910451E+09 -0.70961973E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.89095542E-02  0.00000000E+00 -0.42187177E-01  0.15347748E+09 -0.60929638E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-09  0.10458230E-01  0.00000000E+00 -0.42261404E-01  0.15604662E+09 -0.54011202E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.11000000E-09  0.12027330E-01  0.00000000E+00 -0.42335631E-01  0.15765556E+09 -0.49117015E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.12000000E-09  0.13609514E-01  0.00000000E+00 -0.42409857E-01  0.15871040E+09 -0.45593497E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.13000000E-09  0.15200409E-01  0.00000000E+00 -0.42484084E-01  0.15942349E+09 -0.43033809E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.14002000E-09  0.16800444E-01  0.00000000E+00 -0.42558459E-01  0.15991460E+09 -0.41171328E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.15002000E-09  0.18401385E-01  0.00000000E+00 -0.42632686E-01  0.16025239E+09 -0.39836276E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.16002000E-09  0.20005133E-01  0.00000000E+00 -0.42706912E-01  0.16048184E+09 -0.38901609E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.17002000E-09  0.21610756E-01  0.00000000E+00 -0.42781139E-01  0.16063131E+09 -0.38279756E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.18002000E-09  0.23217556E-01  0.00000000E+00 -0.42855365E-01  0.16071976E+09 -0.37906657E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.19002000E-09  0.24824992E-01  0.00000000E+00 -0.42929592E-01  0.16076029E+09 -0.37734429E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20002000E-09  0.26432633E-01  0.00000000E+00 -0.43003819E-01  0.16076213E+09 -0.37726591E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.21002000E-09  0.28040128E-01  0.00000000E+00 -0.43078045E-01  0.16073197E+09 -0.37854880E+08 -0.74226624E+07  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
