# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.19134001E-02  0.00000000E+00 -0.26264985E-01  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.19134001E-02  0.00000000E+00 -0.24381043E-01  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.19134001E-02  0.00000000E+00 -0.22493326E-01  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.19134001E-02  0.00000000E+00 -0.20605608E-01  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.19134001E-02  0.00000000E+00 -0.18714115E-01  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.19134001E-02  0.00000000E+00 -0.16826397E-01  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.19134001E-02  0.00000000E+00 -0.14938680E-01  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.19134001E-02  0.00000000E+00 -0.13050962E-01  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.19134001E-02  0.00000000E+00 -0.11167020E-01  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.19134001E-02  0.00000000E+00 -0.92793021E-02  0.00000000E+00  0.00000000E+00  0.18877176E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
