# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.24002000E-09  0.43295858E-01  0.00000000E+00 -0.43400637E-01  0.18016768E+09 -0.34297940E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.25002000E-09  0.45096498E-01  0.00000000E+00 -0.43223363E-01  0.17995894E+09 -0.35376805E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.26002000E-09  0.46895006E-01  0.00000000E+00 -0.43046088E-01  0.17974111E+09 -0.36467443E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.27002000E-09  0.48691290E-01  0.00000000E+00 -0.42868814E-01  0.17951424E+09 -0.37568308E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.28002000E-09  0.50485261E-01  0.00000000E+00 -0.42691539E-01  0.17927841E+09 -0.38678069E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.29002000E-09  0.52276829E-01  0.00000000E+00 -0.42514265E-01  0.17903366E+09 -0.39795571E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-09  0.54062329E-01  0.00000000E+00 -0.42337345E-01  0.17878057E+09 -0.40917551E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.31000000E-09  0.55848830E-01  0.00000000E+00 -0.42160071E-01  0.17851817E+09 -0.42047624E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.32000000E-09  0.57632663E-01  0.00000000E+00 -0.41982796E-01  0.17824699E+09 -0.43182765E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.33000000E-09  0.59413741E-01  0.00000000E+00 -0.41805522E-01  0.17796706E+09 -0.44322281E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.34000000E-09  0.61191976E-01  0.00000000E+00 -0.41628248E-01  0.17767843E+09 -0.45465555E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.35000000E-09  0.62967280E-01  0.00000000E+00 -0.41450973E-01  0.17738111E+09 -0.46612032E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.36000000E-09  0.64739569E-01  0.00000000E+00 -0.41273699E-01  0.17707514E+09 -0.47761214E+08  0.17727439E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
