# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.24002000E-09  0.38742626E-01  0.00000000E+00  0.11811881E+00  0.15585288E+09 -0.71747103E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.25002000E-09  0.40302679E-01  0.00000000E+00  0.11749789E+00  0.15614694E+09 -0.71104860E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.26002000E-09  0.41865362E-01  0.00000000E+00  0.11687697E+00  0.15637998E+09 -0.70590853E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.27002000E-09  0.43430101E-01  0.00000000E+00  0.11625605E+00  0.15655948E+09 -0.70191855E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.28002000E-09  0.44996394E-01  0.00000000E+00  0.11563513E+00  0.15669166E+09 -0.69896301E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.29002000E-09  0.46563794E-01  0.00000000E+00  0.11501422E+00  0.15678172E+09 -0.69694046E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-09  0.48128766E-01  0.00000000E+00  0.11439454E+00  0.15683400E+09 -0.69576318E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.31000000E-09  0.49697225E-01  0.00000000E+00  0.11377362E+00  0.15685243E+09 -0.69534771E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.32000000E-09  0.51265711E-01  0.00000000E+00  0.11315270E+00  0.15684003E+09 -0.69562733E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.33000000E-09  0.52833932E-01  0.00000000E+00  0.11253178E+00  0.15679952E+09 -0.69653996E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.34000000E-09  0.54401616E-01  0.00000000E+00  0.11191086E+00  0.15673323E+09 -0.69803024E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.35000000E-09  0.55968517E-01  0.00000000E+00  0.11128994E+00  0.15664318E+09 -0.70004869E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.36000000E-09  0.57534406E-01  0.00000000E+00  0.11066903E+00  0.15653111E+09 -0.70255095E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.37000000E-09  0.59099071E-01  0.00000000E+00  0.11004811E+00  0.15639855E+09 -0.70549713E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.38000000E-09  0.60662313E-01  0.00000000E+00  0.10942719E+00  0.15624681E+09 -0.70885129E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.39000000E-09  0.62223947E-01  0.00000000E+00  0.10880627E+00  0.15607707E+09 -0.71258095E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40000000E-09  0.63783798E-01  0.00000000E+00  0.10818535E+00  0.15589035E+09 -0.71665670E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.41000000E-09  0.65341701E-01  0.00000000E+00  0.10756443E+00  0.15568754E+09 -0.72105180E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.42000000E-09  0.66897498E-01  0.00000000E+00  0.10694351E+00  0.15546946E+09 -0.72574196E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.43000000E-09  0.68451041E-01  0.00000000E+00  0.10632259E+00  0.15523682E+09 -0.73070498E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.44000000E-09  0.70002188E-01  0.00000000E+00  0.10570167E+00  0.15499025E+09 -0.73592061E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.45000000E-09  0.71550802E-01  0.00000000E+00  0.10508076E+00  0.15473031E+09 -0.74137027E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.46000000E-09  0.73096751E-01  0.00000000E+00  0.10445984E+00  0.15445752E+09 -0.74703691E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.47000000E-09  0.74639911E-01  0.00000000E+00  0.10383892E+00  0.15417234E+09 -0.75290486E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.48000000E-09  0.76180158E-01  0.00000000E+00  0.10321800E+00  0.15387518E+09 -0.75895968E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.49000000E-09  0.77717376E-01  0.00000000E+00  0.10259708E+00  0.15356640E+09 -0.76518804E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50000000E-09  0.79251449E-01  0.00000000E+00  0.10197616E+00  0.15324636E+09 -0.77157762E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.51000000E-09  0.80782266E-01  0.00000000E+00  0.10135524E+00  0.15291536E+09 -0.77811698E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.52000000E-09  0.82309720E-01  0.00000000E+00  0.10073432E+00  0.15257368E+09 -0.78479555E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.53000000E-09  0.83833705E-01  0.00000000E+00  0.10011340E+00  0.15222157E+09 -0.79160347E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.54000000E-09  0.85354118E-01  0.00000000E+00  0.99492486E-01  0.15185928E+09 -0.79853157E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.55002000E-09  0.86873887E-01  0.00000000E+00  0.98870325E-01  0.15148626E+09 -0.80558551E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.56002000E-09  0.88386848E-01  0.00000000E+00  0.98249406E-01  0.15110421E+09 -0.81272911E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.57002000E-09  0.89895940E-01  0.00000000E+00  0.97628487E-01  0.15071257E+09 -0.81996891E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.58002000E-09  0.91401068E-01  0.00000000E+00  0.97007569E-01  0.15031151E+09 -0.82729791E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.59002000E-09  0.92902139E-01  0.00000000E+00  0.96386650E-01  0.14990119E+09 -0.83470956E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60002000E-09  0.94399061E-01  0.00000000E+00  0.95765731E-01  0.14948176E+09 -0.84219771E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.61002000E-09  0.95891744E-01  0.00000000E+00  0.95144812E-01  0.14905336E+09 -0.84975659E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.62002000E-09  0.97380099E-01  0.00000000E+00  0.94523893E-01  0.14861612E+09 -0.85738073E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.63002000E-09  0.98864038E-01  0.00000000E+00  0.93902974E-01  0.14817015E+09 -0.86506503E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.64002000E-09  0.10034347E+00  0.00000000E+00  0.93282055E-01  0.14771557E+09 -0.87280462E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.65002000E-09  0.10181832E+00  0.00000000E+00  0.92661137E-01  0.14725248E+09 -0.88059493E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.66002000E-09  0.10328849E+00  0.00000000E+00  0.92040218E-01  0.14678099E+09 -0.88843164E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.67002000E-09  0.10475391E+00  0.00000000E+00  0.91419299E-01  0.14630120E+09 -0.89631063E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.68002000E-09  0.10621449E+00  0.00000000E+00  0.90798380E-01  0.14581318E+09 -0.90422803E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.69002000E-09  0.10767015E+00  0.00000000E+00  0.90177461E-01  0.14531704E+09 -0.91218014E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70002000E-09  0.10912081E+00  0.00000000E+00  0.89556542E-01  0.14481284E+09 -0.92016345E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.71002000E-09  0.11056638E+00  0.00000000E+00  0.88935623E-01  0.14430068E+09 -0.92817463E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.72002000E-09  0.11200679E+00  0.00000000E+00  0.88314705E-01  0.14378062E+09 -0.93621049E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.73002000E-09  0.11344197E+00  0.00000000E+00  0.87693786E-01  0.14325274E+09 -0.94426801E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.74002000E-09  0.11487182E+00  0.00000000E+00  0.87072867E-01  0.14271710E+09 -0.95234430E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.75002000E-09  0.11629628E+00  0.00000000E+00  0.86451948E-01  0.14217378E+09 -0.96043659E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.76002000E-09  0.11771527E+00  0.00000000E+00  0.85831029E-01  0.14162283E+09 -0.96854224E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.77002000E-09  0.11912871E+00  0.00000000E+00  0.85210110E-01  0.14106433E+09 -0.97665873E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.78002000E-09  0.12053653E+00  0.00000000E+00  0.84589191E-01  0.14049833E+09 -0.98478364E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.79002000E-09  0.12193866E+00  0.00000000E+00  0.83968273E-01  0.13992488E+09 -0.99291465E+08 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80002000E-09  0.12333501E+00  0.00000000E+00  0.83347354E-01  0.13934406E+09 -0.10010495E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.81002000E-09  0.12472551E+00  0.00000000E+00  0.82726435E-01  0.13875590E+09 -0.10091862E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.82002000E-09  0.12611010E+00  0.00000000E+00  0.82105516E-01  0.13816048E+09 -0.10173225E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.83002000E-09  0.12748870E+00  0.00000000E+00  0.81484597E-01  0.13755784E+09 -0.10254565E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.84002000E-09  0.12886123E+00  0.00000000E+00  0.80863678E-01  0.13694803E+09 -0.10335863E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.85002000E-09  0.13022763E+00  0.00000000E+00  0.80242759E-01  0.13633110E+09 -0.10417101E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.86002000E-09  0.13158783E+00  0.00000000E+00  0.79621841E-01  0.13570711E+09 -0.10498260E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.87002000E-09  0.13294175E+00  0.00000000E+00  0.79000922E-01  0.13507611E+09 -0.10579325E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.88002000E-09  0.13428933E+00  0.00000000E+00  0.78380003E-01  0.13443814E+09 -0.10660279E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.89002000E-09  0.13563049E+00  0.00000000E+00  0.77759084E-01  0.13379325E+09 -0.10741105E+09 -0.62091885E+08  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
