# ptime xp yp zp vx vy vz ex ey ez bx by bz wt
 0.20000000E-13  0.10130634E-01  0.00000000E+00 -0.30584896E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.10000000E-10  0.10130634E-01  0.00000000E+00 -0.28725040E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.20000000E-10  0.10130634E-01  0.00000000E+00 -0.26861456E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.30000000E-10  0.10130634E-01  0.00000000E+00 -0.24997872E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.40020000E-10  0.10130634E-01  0.00000000E+00 -0.23130561E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.50020000E-10  0.10130634E-01  0.00000000E+00 -0.21266977E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.60020000E-10  0.10130634E-01  0.00000000E+00 -0.19403393E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.70020000E-10  0.10130634E-01  0.00000000E+00 -0.17539809E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.80000000E-10  0.10130634E-01  0.00000000E+00 -0.15679952E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
 0.90000000E-10  0.10130634E-01  0.00000000E+00 -0.13816368E-01  0.00000000E+00  0.00000000E+00  0.18635839E+09  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  0.10000000E-01  0.10000000E+01
